from_currency_code,to_currency_code,rate_date,rate,source_system,source_ref,ingest_batch_id
CNH,USD,2025-06-30,0.137,SEED,FX0077,B2
USD,HKD,2025-06-30,7.8,SEED,FX0078,B2
USD,SGD,2025-06-30,1.344,SEED,FX0079,B2
USD,CNH,2025-06-30,7.28,SEED,FX0080,B2
USD,USD,2025-06-30,1.0,SEED,FX0081,B2
EUR,USD,2025-09-30,1.173144,SEED,FX0082,B2
USD,EUR,2025-09-30,0.85241028,SEED,FX0083,B2
GBP,USD,2025-09-30,1.343725,SEED,FX0084,B2
USD,GBP,2025-09-30,0.74419989,SEED,FX0085,B2
AUD,USD,2025-09-30,0.658198,SEED,FX0086,B2
USD,AUD,2025-09-30,1.51929966,SEED,FX0087,B2
EUR,GBP,2025-09-30,0.8731,SEED,FX0088,B2
GBP,EUR,2025-09-30,1.14534418,SEED,FX0089,B2
EUR,JPY,2025-09-30,174.317993,SEED,FX0090,B2
JPY,EUR,2025-09-30,0.00573664,SEED,FX0091,B2
GBP,JPY,2025-09-30,199.645996,SEED,FX0092,B2
JPY,GBP,2025-09-30,0.00500887,SEED,FX0093,B2
EUR,CHF,2025-09-30,0.93537,SEED,FX0094,B2
CHF,EUR,2025-09-30,1.06909565,SEED,FX0095,B2
JPY,USD,2025-09-30,0.0067297,SEED,FX0096,B2
USD,JPY,2025-09-30,148.595001,SEED,FX0097,B2
CAD,USD,2025-09-30,0.71858697,SEED,FX0098,B2
USD,CAD,2025-09-30,1.39162,SEED,FX0099,B2
CHF,USD,2025-09-30,1.25439037,SEED,FX0100,B2
USD,CHF,2025-09-30,0.7972,SEED,FX0101,B2
HKD,USD,2025-09-30,0.1282,SEED,FX0102,B2
SGD,USD,2025-09-30,0.743,SEED,FX0103,B2
CNH,USD,2025-09-30,0.137,SEED,FX0104,B2
USD,HKD,2025-09-30,7.8,SEED,FX0105,B2
USD,SGD,2025-09-30,1.344,SEED,FX0106,B2
USD,CNH,2025-09-30,7.28,SEED,FX0107,B2
USD,USD,2025-09-30,1.0,SEED,FX0108,B2
EUR,USD,2025-12-31,1.174729,SEED,FX0109,B2
USD,EUR,2025-12-31,0.85126016,SEED,FX0110,B2
GBP,USD,2025-12-31,1.34672,SEED,FX0111,B2
USD,GBP,2025-12-31,0.74254485,SEED,FX0112,B2
AUD,USD,2025-12-31,0.6698,SEED,FX0113,B2
USD,AUD,2025-12-31,1.49298298,SEED,FX0114,B2
EUR,GBP,2025-12-31,0.87224,SEED,FX0115,B2
GBP,EUR,2025-12-31,1.14647345,SEED,FX0116,B2
EUR,JPY,2025-12-31,183.720001,SEED,FX0117,B2
JPY,EUR,2025-12-31,0.00544307,SEED,FX0118,B2
GBP,JPY,2025-12-31,210.610001,SEED,FX0119,B2
JPY,GBP,2025-12-31,0.00474811,SEED,FX0120,B2
EUR,CHF,2025-12-31,0.93006,SEED,FX0121,B2
CHF,EUR,2025-12-31,1.07519945,SEED,FX0122,B2
JPY,USD,2025-12-31,0.00639333,SEED,FX0123,B2
USD,JPY,2025-12-31,156.412994,SEED,FX0124,B2
CAD,USD,2025-12-31,0.7302095,SEED,FX0125,B2
USD,CAD,2025-12-31,1.36947,SEED,FX0126,B2
CHF,USD,2025-12-31,1.26310471,SEED,FX0127,B2
USD,CHF,2025-12-31,0.7917,SEED,FX0128,B2
HKD,USD,2025-12-31,0.1282,SEED,FX0129,B2
SGD,USD,2025-12-31,0.743,SEED,FX0130,B2
CNH,USD,2025-12-31,0.137,SEED,FX0131,B2
USD,HKD,2025-12-31,7.8,SEED,FX0132,B2
USD,SGD,2025-12-31,1.344,SEED,FX0133,B2
USD,CNH,2025-12-31,7.28,SEED,FX0134,B2
USD,USD,2025-12-31,1.0,SEED,FX0135,B2
EUR,USD,2026-01-31,1.196573,SEED,FX0136,B2
USD,EUR,2026-01-31,0.83572001,SEED,FX0137,B2
GBP,USD,2026-01-31,1.380643,SEED,FX0138,B2
USD,GBP,2026-01-31,0.7243002,SEED,FX0139,B2
AUD,USD,2026-01-31,0.70473,SEED,FX0140,B2
USD,AUD,2026-01-31,1.41898316,SEED,FX0141,B2
EUR,GBP,2026-01-31,0.86666,SEED,FX0142,B2
GBP,EUR,2026-01-31,1.15385503,SEED,FX0143,B2
EUR,JPY,2026-01-31,183.266006,SEED,FX0144,B2
JPY,EUR,2026-01-31,0.00545655,SEED,FX0145,B2
GBP,JPY,2026-01-31,211.429993,SEED,FX0146,B2
JPY,GBP,2026-01-31,0.0047297,SEED,FX0147,B2
EUR,CHF,2026-01-31,0.91466,SEED,FX0148,B2
CHF,EUR,2026-01-31,1.09330243,SEED,FX0149,B2
JPY,USD,2026-01-31,0.00652903,SEED,FX0150,B2
USD,JPY,2026-01-31,153.162003,SEED,FX0151,B2
CAD,USD,2026-01-31,0.74117996,SEED,FX0152,B2
USD,CAD,2026-01-31,1.3492,SEED,FX0153,B2
CHF,USD,2026-01-31,1.30819848,SEED,FX0154,B2
USD,CHF,2026-01-31,0.76441,SEED,FX0155,B2
HKD,USD,2026-01-31,0.1282,SEED,FX0156,B2
SGD,USD,2026-01-31,0.743,SEED,FX0157,B2
CNH,USD,2026-01-31,0.137,SEED,FX0158,B2
USD,HKD,2026-01-31,7.8,SEED,FX0159,B2
USD,SGD,2026-01-31,1.344,SEED,FX0160,B2
USD,CNH,2026-01-31,7.28,SEED,FX0161,B2
USD,USD,2026-01-31,1.0,SEED,FX0162,B2
EUR,USD,2026-03-19,1.146447,SEED,FX0163,B2
USD,EUR,2026-03-19,0.87226012,SEED,FX0164,B2
GBP,USD,2026-03-19,1.326506,SEED,FX0165,B2
USD,GBP,2026-03-19,0.75386014,SEED,FX0166,B2
AUD,USD,2026-03-19,0.70295,SEED,FX0167,B2
USD,AUD,2026-03-19,1.42257629,SEED,FX0168,B2
EUR,GBP,2026-03-19,0.86417,SEED,FX0169,B2
GBP,EUR,2026-03-19,1.15717972,SEED,FX0170,B2
EUR,JPY,2026-03-19,183.169998,SEED,FX0171,B2
JPY,EUR,2026-03-19,0.00545941,SEED,FX0172,B2
GBP,JPY,2026-03-19,211.940002,SEED,FX0173,B2
JPY,GBP,2026-03-19,0.00471832,SEED,FX0174,B2
EUR,CHF,2026-03-19,0.90863,SEED,FX0175,B2
CHF,EUR,2026-03-19,1.10055798,SEED,FX0176,B2
JPY,USD,2026-03-19,0.00625802,SEED,FX0177,B2
USD,JPY,2026-03-19,159.794998,SEED,FX0178,B2
CAD,USD,2026-03-19,0.72836395,SEED,FX0179,B2
USD,CAD,2026-03-19,1.37294,SEED,FX0180,B2
CHF,USD,2026-03-19,1.2616227,SEED,FX0181,B2
USD,CHF,2026-03-19,0.79263,SEED,FX0182,B2
HKD,USD,2026-03-19,0.1282,SEED,FX0183,B2
SGD,USD,2026-03-19,0.743,SEED,FX0184,B2
CNH,USD,2026-03-19,0.137,SEED,FX0185,B2
USD,HKD,2026-03-19,7.8,SEED,FX0186,B2
USD,SGD,2026-03-19,1.344,SEED,FX0187,B2
USD,CNH,2026-03-19,7.28,SEED,FX0188,B2
USD,USD,2026-03-19,1.0,SEED,FX0189,B2
EUR,USD,2026-03-20,1.157541,SEED,FX0190,B2
USD,EUR,2026-03-20,0.86390029,SEED,FX0191,B2
GBP,USD,2026-03-20,1.334492,SEED,FX0192,B2
USD,GBP,2026-03-20,0.74934882,SEED,FX0193,B2
AUD,USD,2026-03-20,0.702375,SEED,FX0194,B2
USD,AUD,2026-03-20,1.42374088,SEED,FX0195,B2
EUR,GBP,2026-03-20,0.86743,SEED,FX0196,B2
GBP,EUR,2026-03-20,1.15283078,SEED,FX0197,B2
EUR,JPY,2026-03-20,184.287003,SEED,FX0198,B2
JPY,EUR,2026-03-20,0.00542632,SEED,FX0199,B2
GBP,JPY,2026-03-20,212.444,SEED,FX0200,B2
JPY,GBP,2026-03-20,0.00470712,SEED,FX0201,B2
EUR,CHF,2026-03-20,0.91159,SEED,FX0202,B2
CHF,EUR,2026-03-20,1.09698439,SEED,FX0203,B2
JPY,USD,2026-03-20,0.00628062,SEED,FX0204,B2
USD,JPY,2026-03-20,159.220001,SEED,FX0205,B2
CAD,USD,2026-03-20,0.72870364,SEED,FX0206,B2
USD,CAD,2026-03-20,1.3723,SEED,FX0207,B2
CHF,USD,2026-03-20,1.26935771,SEED,FX0208,B2
USD,CHF,2026-03-20,0.7878,SEED,FX0209,B2
HKD,USD,2026-03-20,0.1282,SEED,FX0210,B2
SGD,USD,2026-03-20,0.743,SEED,FX0211,B2
CNH,USD,2026-03-20,0.137,SEED,FX0212,B2
USD,HKD,2026-03-20,7.8,SEED,FX0213,B2
USD,SGD,2026-03-20,1.344,SEED,FX0214,B2
USD,CNH,2026-03-20,7.28,SEED,FX0215,B2
USD,USD,2026-03-20,1.0,SEED,FX0216,B2
